Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,RMM2,MJO Amplitude,time_idx,avg_temp_by_month,avg_humidity_by_month,weather
2000,1,1,0.3777777777777777,0.3292682926829269,0.0079051383399209,0.3951612903225805,0.4333333333333334,0.6203703703703667,0.3673469387755102,0.3804347826086953,0.3777777777777777,0.4550776278951387,0.4898569280471646,0.08507012032267108,0,0.3777777777777777,0.4333333333333335,Clear
2000,1,2,0.411111111111111,0.3109756097560976,0.0592885375494071,0.4435483870967742,0.4777777777777777,0.7361111111111072,0.3877551020408162,0.4347826086956519,0.3999999999999999,0.47187579536777813,0.4922627998034807,0.10640951354874917,1,0.411111111111111,0.4777777777777778,Cloudy
2000,1,3,0.3999999999999999,0.3292682926829269,0.0553359683794466,0.4919354838709679,0.5638888888888888,0.7824074074074048,0.3265306122448979,0.4239130434782607,0.3999999999999999,0.5623568337999492,0.4528726049219133,0.06670257937765378,2,0.3999999999999999,0.5638888888888889,Clear
2000,1,4,0.3999999999999999,0.3902439024390245,0.067193675889328,0.5806451612903227,0.7083333333333331,0.7777777777777715,0.3673469387755102,0.41304347826087,0.3999999999999999,0.4861287859506236,0.4320192350637942,0.06646039491910578,3,0.3999999999999999,0.7083333333333333,Clear
2000,1,5,0.4222222222222225,0.4207317073170729,0.1146245059288537,0.5403225806451613,0.6111111111111113,0.787037037037031,0.2857142857142856,0.41304347826087,0.4333333333333331,0.5669381522015781,0.4356518632107072,0.05107375987976778,4,0.4222222222222225,0.6111111111111114,Clear
2000,1,6,0.411111111111111,0.3353658536585366,0.1146245059288537,0.5080645161290325,0.5777777777777776,0.8287037037037024,0.2244897959183673,0.4021739130434785,0.422222222222222,0.5453041486383304,0.4016287275380011,0.14326455596498047,5,0.411111111111111,0.5777777777777777,Clear
2000,1,7,0.3999999999999999,0.2987804878048781,0.1818181818181818,0.4112903225806452,0.4388888888888888,0.824074074074062,0.163265306122449,0.4021739130434785,0.3777777777777777,0.5740646474930008,0.3877398800041685,0.17883172027921376,6,0.3999999999999999,0.4388888888888889,Clear
2000,1,8,0.4222222222222225,0.3048780487804878,0.2411067193675889,0.4596774193548387,0.4916666666666668,0.7824074074074048,0.2244897959183673,0.41304347826087,0.411111111111111,0.26800712649529146,0.3816775595885006,0.21861561025956736,7,0.4222222222222225,0.4916666666666669,Partly Cloudy
2000,1,9,0.3888888888888888,0.3048780487804878,0.1541501976284585,0.403225806451613,0.4444444444444443,0.7361111111111072,0.163265306122449,0.4021739130434785,0.3888888888888888,0.5316874522779333,0.4013205496583245,0.23724570631852454,8,0.3888888888888888,0.4444444444444444,Clear
2000,1,10,0.3888888888888888,0.274390243902439,0.1897233201581027,0.4758064516129032,0.5583333333333337,0.6759259259259238,0.2448979591836734,0.4021739130434785,0.3777777777777777,0.3937388648511072,0.3775059923476603,0.30271925615420125,9,0.3888888888888888,0.5583333333333338,Partly Cloudy
2000,1,11,0.3888888888888888,0.2987804878048781,0.1739130434782608,0.4919354838709679,0.5777777777777776,0.6249999999999929,0.3469387755102041,0.3913043478260869,0.3777777777777777,0.5459404428607788,0.3677276719915436,0.3515069758177685,10,0.3888888888888888,0.5777777777777777,Clear
2000,1,12,0.3999999999999999,0.3597560975609757,0.1857707509881423,0.5161290322580645,0.6111111111111113,0.5972222222222214,0.4489795918367347,0.3804347826086953,0.411111111111111,0.18592517179944007,0.4580476112492369,0.25110906901578034,11,0.3999999999999999,0.6111111111111114,Clear
2000,1,13,0.3444444444444445,0.4207317073170729,0.1264822134387351,0.4516129032258067,0.5722222222222225,0.6203703703703667,0.3265306122448979,0.3369565217391304,0.3444444444444445,0.4213540341053703,0.4812740996590688,0.25072655337564387,12,0.3444444444444445,0.5722222222222226,Cloudy
2000,1,14,0.3111111111111113,0.4634146341463412,0.1778656126482213,0.4596774193548387,0.6111111111111113,0.6944444444444358,0.3673469387755102,0.3152173913043481,0.2999999999999998,0.42160855179434975,0.5195223987256026,0.19771984463980144,13,0.3111111111111113,0.6111111111111114,Partly Cloudy
2000,1,15,0.2444444444444444,0.4817073170731705,0.2885375494071146,0.3548387096774192,0.525,0.7824074074074048,0.2040816326530612,0.2282608695652173,0.2666666666666666,0.5173072028505982,0.5190221679643883,0.21173032873710984,14,0.2444444444444444,0.5250000000000001,Clear
2000,1,16,0.2444444444444444,0.5426829268292681,0.1936758893280633,0.2661290322580647,0.3861111111111112,0.8194444444444429,0.163265306122449,0.2391304347826088,0.244444444444444,0.4143547976584373,0.5440887909601155,0.18972096728925414,15,0.2444444444444444,0.3861111111111113,Cloudy
2000,1,17,0.2222222222222223,0.5731707317073169,0.1818181818181818,0.2338709677419355,0.35000000000000026,0.787037037037031,0.163265306122449,0.206521739130435,0.2333333333333334,0.6021888521252228,0.507972427756852,0.13181172082243117,16,0.2222222222222223,0.3500000000000003,Clear
2000,1,18,0.2111111111111112,0.6219512195121952,0.2845849802371541,0.2741935483870967,0.43611111111111117,0.6944444444444358,0.2857142857142856,0.206521739130435,0.2333333333333334,0.3724866378213286,0.5212836278640444,0.09069921142929568,17,0.2111111111111112,0.4361111111111113,Cloudy
2000,1,19,0.2111111111111112,0.6463414634146343,0.3715415019762846,0.3548387096774192,0.5583333333333337,0.6249999999999929,0.3673469387755102,0.1847826086956523,0.2111111111111112,0.31852888775769916,0.52923670145454,0.12747050781780478,18,0.2111111111111112,0.5583333333333338,Cloudy
2000,1,20,0.2777777777777781,0.6341463414634148,0.300395256916996,0.3629032258064517,0.5000000000000001,0.6296296296296333,0.4489795918367347,0.2608695652173916,0.2777777777777781,0.31140239246627643,0.517512542988581,0.09638715109594118,19,0.2777777777777781,0.5000000000000002,Cloudy
